captured_date,chart_name,genre,chart_type,rank,track_name,track_id,isrc,artist_name,artist_id,album_name,album_id,release_date,image_url
2026-08-22,日語新歌日榜,japanese,newrelease,1,KISS N TELL,_X5o5iVu0EWg8WNaJB,JPWP02670574,aespa,9-icI58ApgvpPEhWSV,KISS N TELL,8sNDNr-DI8uipPmgFI,2026-07-24,"https://i.kfs.io/album/global/295819544,0v2/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,2,夜鷹 - Yodaka,1YJ0RV_D0OlxrDP0Fw,JPU902602235,米津玄師,8oRs6ttmEEYzg2nyTU,夜鷹 - Yodaka,CoB2Xo-O1JHrw9HCW6,2026-07-13,"https://i.kfs.io/album/global/295286782,0v3/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,3,SODA SODA,__XFv4zJVATFciHALb,JPZ672600036,TWS,LX1IZbxhSEf7TZSs2v,SODA SODA,HZUMSuFSAsSpLzLscz,2026-08-03,"https://i.kfs.io/album/global/296426180,0v2/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,4,I-BULL - iburu,CrdJy5FRa7_3Pimwgn,JPU902602694,jo0ji,LafPiWH_MgHOtoumQq,I-BULL - iburu - BLEACH: Thousand-Year Blood War - The Calamity,Okh5D5gaH9M2vrKgEE,2026-07-24,"https://i.kfs.io/album/global/295832468,0v3/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,5,GO GHOST,LYqdzAJ0B5NioWzPSf,JPU902602513,King Gnu,Ks0qg_53FpT3XfUQyL,GO GHOST,Gk6QM2COx3YZIgUFmH,2026-07-29,"https://i.kfs.io/album/global/296320461,0v3/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,6,"777 (feat. Awich, CHICO CARLITO, ONE OK ROCK & Paledusk)",_-hl-d-OB8cu2T25EW,QT66P2683287,yao,SpSy-tY4Ht6I8bBMXb,"777 (feat. Awich, CHICO CARLITO, ONE OK ROCK & Paledusk)",-myUQYw9LXM770Itqb,2026-07-07,"https://i.kfs.io/album/global/295103760,0v2/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,7,Brand New,Gn0mzcyGJNIVJ-AtYX,JPPO02602482,Mrs. GREEN APPLE,4naOIR-K2KLL59lD-Q,Brand New,1-tP8yfHCvM0eFkfAB,2026-07-13,"https://i.kfs.io/album/global/295577824,0v2/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,8,In Halo,WtqSSsUQoKRKVBSsqD,JPWP02670376,aespa,9-icI58ApgvpPEhWSV,KISS N TELL,8sNDNr-DI8uipPmgFI,2026-07-24,"https://i.kfs.io/album/global/295819544,0v2/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,9,Boku no Hoshi,SmKzebNp2bwp6K_91V,JP92E2601595,厲旭 (RYEOWOOK),4k0LRsxqN3_1LJVQLW,Boku no Hoshi,Kk0GjqQALfA_PILhew,2026-08-05,"https://i.kfs.io/album/global/296225153,0v1/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,10,猫日,GlU1hAGpylVNF_0fHk,JPPO02602724,suis from ヨルシカ,DXITxsQV1asjF23myN,猫日,Ws1oUoeTjmG2D_ZqA3,2026-07-17,"https://i.kfs.io/album/global/295706863,0v2/fit/160x160.jpg"
