captured_date,chart_name,genre,chart_type,rank,track_name,track_id,isrc,artist_name,artist_id,album_name,album_id,release_date,image_url
2026-08-08,日語單曲日榜,japanese,single,1,Sakihokoru Toki o Matsu no wa,9YkriwQOtUrZ291iUo,JP92E2600716,藝聲 (YESUNG),HZMUBx0zUOvYT1_vKk,Sakihokoru Toki o Matsu no wa,CowCcc-O1JHryIv9e_,2026-04-24,"https://i.kfs.io/album/global/292418873,0v3/fit/160x160.jpg"
2026-08-08,日語單曲日榜,japanese,single,2,Lemon,Gl0SSwbJylVNHBg1G9,JPU901800227,米津玄師,8oRs6ttmEEYzg2nyTU,STRAY SHEEP,4kUU08ZXF4KmWQhM86,2020-08-05,"https://i.kfs.io/album/global/83019209,2v1/fit/160x160.jpg"
2026-08-08,日語單曲日榜,japanese,single,3,First Love,GpWk-Cju-IKc1FRrhp,JPTO09901670,宇多田光,Cno9q5i5Ft4y5vDR3_,First Love,P-O35slzmaj9quPAlP,1999-03-10,"https://i.kfs.io/album/global/30579665,0v1/fit/160x160.jpg"
2026-08-08,日語單曲日榜,japanese,single,4,KISS N TELL,_X5o5iVu0EWg8WNaJB,JPWP02670574,aespa,9-icI58ApgvpPEhWSV,KISS N TELL,8sNDNr-DI8uipPmgFI,2026-07-24,"https://i.kfs.io/album/global/295819544,0v2/fit/160x160.jpg"
2026-08-08,日語單曲日榜,japanese,single,5,たぶん,DXuZQuUCg_DL8VHi9S,JPP302000323,YOASOBI,LZShQXVlw4lbgxexbP,たぶん,Kkukf_VQLfA_PyyqgP,2020-07-20,"https://i.kfs.io/album/global/79505131,1v1/fit/160x160.jpg"
2026-08-08,日語單曲日榜,japanese,single,6,NIGHT DANCER,4o56KQl6tWt5k55ttq,JPPO02202918,imase,LX0sYIxxSEf7TN-fy7,NIGHT DANCER,9ZWJ-RiX_BzuOMjxYs,2022-08-19,"https://i.kfs.io/album/global/187499743,0v1/fit/160x160.jpg"
2026-08-08,日語單曲日榜,japanese,single,7,IRIS OUT,X-rukn0L-uxSg85u8t,JPU902502821,米津玄師,8oRs6ttmEEYzg2nyTU,IRIS OUT,L-w2z01VKwYNoeBb-J,2025-09-15,"https://i.kfs.io/album/global/284683632,0v3/fit/160x160.jpg"
2026-08-08,日語單曲日榜,japanese,single,8,Idol,GlbT8QBpylVNGSuGIU,JPP302300157,YOASOBI,LZShQXVlw4lbgxexbP,Idol,Gsa5IW4TG1L3HcQdXW,2023-04-12,"https://i.kfs.io/album/global/234991839,0v1/fit/160x160.jpg"
2026-08-08,日語單曲日榜,japanese,single,9,群青,L_wU4Aup_NyBq3s3_p,JPP302000468,YOASOBI,LZShQXVlw4lbgxexbP,群青,8ssRTZ7DI8uiq86Z4-,2020-09-01,"https://i.kfs.io/album/global/85196445,1v1/fit/160x160.jpg"
2026-08-08,日語單曲日榜,japanese,single,10,夜に駆ける,0ohjb6E3hv4OSNV4sZ,JPP301900716,YOASOBI,LZShQXVlw4lbgxexbP,夜に駆ける,8oAwUjKg3_AF4N-L5J,2019-12-15,"https://i.kfs.io/album/global/66951781,1v1/fit/160x160.jpg"
