captured_date,period_suffix,returned_date,timeframe,genre,chart_type,rank_this_period,rank_last_period,song_id,song_name,album_id,album_name,artist_name,artist_url,song_url,album_url,cover_image_url,release_date_unix,is_album_entry
2026-08-31,2026-04-14,2026-04-14,daily,japanese,newrelease,1,1,9_CL13wuL75jLjgvla,零-zero-,,零-zero-,tuki.,https://www.kkbox.com/tw/en/artist/9XXXnOgJvg3gbktcmj,https://www.kkbox.com/tw/en/song/9_CL13wuL75jLjgvla,https://www.kkbox.com/tw/en/album/KrJmwd20QPhDB-BBzc,"https://i.kfs.io/album/global/291290115,0v3/fit/500x500.jpg",1775232000,false
2026-08-31,2026-04-14,2026-04-14,daily,japanese,newrelease,2,2,__LwKiy5VATFesfbEg,ultra魂,,形藻土,永遠是深夜有多好。,https://www.kkbox.com/tw/en/artist/SsJnqwFoPKLNQQOKH8,https://www.kkbox.com/tw/en/song/__LwKiy5VATFesfbEg,https://www.kkbox.com/tw/en/album/XaIf57L0PrbA5-cZaR,"https://i.kfs.io/album/global/291256289,0v2/fit/500x500.jpg",1774368000,false
2026-08-31,2026-04-14,2026-04-14,daily,japanese,newrelease,3,3,HZwDZEdSEYKfm4k57Q,間人間,,形藻土,永遠是深夜有多好。,https://www.kkbox.com/tw/en/artist/SsJnqwFoPKLNQQOKH8,https://www.kkbox.com/tw/en/song/HZwDZEdSEYKfm4k57Q,https://www.kkbox.com/tw/en/album/XaIf57L0PrbA5-cZaR,"https://i.kfs.io/album/global/291256289,0v2/fit/500x500.jpg",1774368000,false
2026-08-31,2026-04-14,2026-04-14,daily,japanese,newrelease,4,4,8ml8DXfgJRsakC8l4G,蟹しゃぶふぁんく,,形藻土,永遠是深夜有多好。,https://www.kkbox.com/tw/en/artist/SsJnqwFoPKLNQQOKH8,https://www.kkbox.com/tw/en/song/8ml8DXfgJRsakC8l4G,https://www.kkbox.com/tw/en/album/XaIf57L0PrbA5-cZaR,"https://i.kfs.io/album/global/291256289,0v2/fit/500x500.jpg",1774368000,false
2026-08-31,2026-04-14,2026-04-14,daily,japanese,newrelease,5,5,D_flNT-6Otw-bAeh5q,CREAM - Disco Re-Edit,,形藻土,永遠是深夜有多好。,https://www.kkbox.com/tw/en/artist/SsJnqwFoPKLNQQOKH8,https://www.kkbox.com/tw/en/song/D_flNT-6Otw-bAeh5q,https://www.kkbox.com/tw/en/album/XaIf57L0PrbA5-cZaR,"https://i.kfs.io/album/global/291256289,0v2/fit/500x500.jpg",1774368000,false
2026-08-31,2026-04-14,2026-04-14,daily,japanese,newrelease,6,6,KqG1822x3UapGZQEWy,地球存在しない説,,形藻土,永遠是深夜有多好。,https://www.kkbox.com/tw/en/artist/SsJnqwFoPKLNQQOKH8,https://www.kkbox.com/tw/en/song/KqG1822x3UapGZQEWy,https://www.kkbox.com/tw/en/album/XaIf57L0PrbA5-cZaR,"https://i.kfs.io/album/global/291256289,0v2/fit/500x500.jpg",1774368000,false
2026-08-31,2026-04-14,2026-04-14,daily,japanese,newrelease,7,8,DYHD-brLri5YRB198h,またね幻 - Live in Studio_80光年先の君へ,,形藻土,永遠是深夜有多好。,https://www.kkbox.com/tw/en/artist/SsJnqwFoPKLNQQOKH8,https://www.kkbox.com/tw/en/song/DYHD-brLri5YRB198h,https://www.kkbox.com/tw/en/album/XaIf57L0PrbA5-cZaR,"https://i.kfs.io/album/global/291256289,0v2/fit/500x500.jpg",1774368000,false
2026-08-31,2026-04-14,2026-04-14,daily,japanese,newrelease,8,7,8qJ0F1aMYrrZO5BbNk,不死身の訓練,,形藻土,永遠是深夜有多好。,https://www.kkbox.com/tw/en/artist/SsJnqwFoPKLNQQOKH8,https://www.kkbox.com/tw/en/song/8qJ0F1aMYrrZO5BbNk,https://www.kkbox.com/tw/en/album/XaIf57L0PrbA5-cZaR,"https://i.kfs.io/album/global/291256289,0v2/fit/500x500.jpg",1774368000,false
2026-08-31,2026-04-14,2026-04-14,daily,japanese,newrelease,9,10,GohdurGQV7_OewWBXt,Luminous (TV動畫「ONE PIECE航海王」片頭曲),,Luminous,AiNA THE END,https://www.kkbox.com/tw/en/artist/XaQLYxZXejH-nUU4bJ,https://www.kkbox.com/tw/en/song/GohdurGQV7_OewWBXt,https://www.kkbox.com/tw/en/album/KtYg0LQdUD8fVA8bYg,"https://i.kfs.io/album/global/291648315,0v1/fit/500x500.jpg",1775145600,false
2026-08-31,2026-04-14,2026-04-14,daily,japanese,newrelease,10,11,4lLRyaza9Z5EZKg71c,クズリ念 - Live in Studio_温蔵庫,,形藻土,永遠是深夜有多好。,https://www.kkbox.com/tw/en/artist/SsJnqwFoPKLNQQOKH8,https://www.kkbox.com/tw/en/song/4lLRyaza9Z5EZKg71c,https://www.kkbox.com/tw/en/album/XaIf57L0PrbA5-cZaR,"https://i.kfs.io/album/global/291256289,0v2/fit/500x500.jpg",1774368000,false
2026-08-31,2026-04-14,2026-04-14,daily,japanese,newrelease,11,9,9_zu9GwuL75jI45mnI,アイ・アイ・ア,,アイ・アイ・ア,Ado,https://www.kkbox.com/tw/en/artist/8pAtcVODL2RadSu8CT,https://www.kkbox.com/tw/en/song/9_zu9GwuL75jI45mnI,https://www.kkbox.com/tw/en/album/StL7hTKeyDQXxR2deM,"https://i.kfs.io/album/global/290883118,0v2/fit/500x500.jpg",1773590400,false
2026-08-31,2026-04-14,2026-04-14,daily,japanese,newrelease,12,12,H-0DZzyKCJ6qxbcSWP,アンチモン,,形藻土,永遠是深夜有多好。,https://www.kkbox.com/tw/en/artist/SsJnqwFoPKLNQQOKH8,https://www.kkbox.com/tw/en/song/H-0DZzyKCJ6qxbcSWP,https://www.kkbox.com/tw/en/album/XaIf57L0PrbA5-cZaR,"https://i.kfs.io/album/global/291256289,0v2/fit/500x500.jpg",1774368000,false
2026-08-31,2026-04-14,2026-04-14,daily,japanese,newrelease,13,14,_aBpqjpwAvqjYulOCI,We on Fire,,We on Fire,&TEAM,https://www.kkbox.com/tw/en/artist/XXhiGIoKvXP52RlJ9_,https://www.kkbox.com/tw/en/song/_aBpqjpwAvqjYulOCI,https://www.kkbox.com/tw/en/album/8kjppbtuGTiCLp7rLi,"https://i.kfs.io/album/global/292313825,0v1/fit/500x500.jpg",1775923200,false
2026-08-31,2026-04-14,2026-04-14,daily,japanese,newrelease,14,13,5abX07eTyKyO5Q6Mb-,HOTLINE,,We on Fire,&TEAM,https://www.kkbox.com/tw/en/artist/XXhiGIoKvXP52RlJ9_,https://www.kkbox.com/tw/en/song/5abX07eTyKyO5Q6Mb-,https://www.kkbox.com/tw/en/album/8kjppbtuGTiCLp7rLi,"https://i.kfs.io/album/global/292313825,0v1/fit/500x500.jpg",1775923200,false
2026-08-31,2026-04-14,2026-04-14,daily,japanese,newrelease,15,15,OnYLrGhro9axOP8l4e,Elderflower,,Elderflower,Official鬍子男dism,https://www.kkbox.com/tw/en/artist/8l7O81OuEe4fQ_pqt-,https://www.kkbox.com/tw/en/song/OnYLrGhro9axOP8l4e,https://www.kkbox.com/tw/en/album/8osICIOA3_AF7zOamE,"https://i.kfs.io/album/global/290856918,0v4/fit/500x500.jpg",1774800000,false
2026-08-31,2026-04-14,2026-04-14,daily,japanese,newrelease,16,16,Ct29JXO1USEGbEPROX,lowmotion algae,,形藻土,永遠是深夜有多好。,https://www.kkbox.com/tw/en/artist/SsJnqwFoPKLNQQOKH8,https://www.kkbox.com/tw/en/song/Ct29JXO1USEGbEPROX,https://www.kkbox.com/tw/en/album/XaIf57L0PrbA5-cZaR,"https://i.kfs.io/album/global/291256289,0v2/fit/500x500.jpg",1774368000,false
2026-08-31,2026-04-14,2026-04-14,daily,japanese,newrelease,17,18,Gt6Zl8Ye-2a5-fEMA7,言葉の続き,,言葉の続き,ロクデナシ,https://www.kkbox.com/tw/en/artist/GkrtPeZ3ap2pJx5UQo,https://www.kkbox.com/tw/en/song/Gt6Zl8Ye-2a5-fEMA7,https://www.kkbox.com/tw/en/album/L_-k1Z8OYWLlRVX2yS,"https://i.kfs.io/album/global/291849203,0v1/fit/500x500.jpg",1775577600,false
2026-08-31,2026-04-14,2026-04-14,daily,japanese,newrelease,18,22,KkAT1EwD5hrtAdJdEq,飛ぶ時,,飛ぶ時 / 飛ぼうよ,"Vaundy, yama",https://www.kkbox.com/tw/en/artist/1Ylie0INwJe8EWXxMC,https://www.kkbox.com/tw/en/song/KkAT1EwD5hrtAdJdEq,https://www.kkbox.com/tw/en/album/0nwrAr2ntCwou4cQ5Q,"https://i.kfs.io/album/global/291871376,0v3/fit/500x500.jpg",1775923200,false
2026-08-31,2026-04-14,2026-04-14,daily,japanese,newrelease,19,19,CmlrQQhltBWGoaOo3f,Bewitched,,We on Fire,&TEAM,https://www.kkbox.com/tw/en/artist/XXhiGIoKvXP52RlJ9_,https://www.kkbox.com/tw/en/song/CmlrQQhltBWGoaOo3f,https://www.kkbox.com/tw/en/album/8kjppbtuGTiCLp7rLi,"https://i.kfs.io/album/global/292313825,0v1/fit/500x500.jpg",1775923200,false
2026-08-31,2026-04-14,2026-04-14,daily,japanese,newrelease,20,21,H_CDSoso6JmyxEh75Y,stay with me,,stay with me,幾田りら,https://www.kkbox.com/tw/en/artist/WmaB3xU0Utj1JKdyu6,https://www.kkbox.com/tw/en/song/H_CDSoso6JmyxEh75Y,https://www.kkbox.com/tw/en/album/Gn_nJNxHPEfOArXwAE,"https://i.kfs.io/album/global/291523684,0v2/fit/500x500.jpg",1775232000,false
