captured_date,period_suffix,returned_date,timeframe,genre,chart_type,rank_this_period,rank_last_period,song_id,song_name,album_id,album_name,artist_name,artist_url,song_url,album_url,cover_image_url,release_date_unix,is_album_entry
2026-08-31,2026-02-16,2026-02-19,weekly,mandarin,newrelease,1,2,WqFawKpKTPWt4w1g5c,曾經如今,,《愛了100萬次的我》新歌經典自選輯,丁噹 (Della),https://www.kkbox.com/tw/en/artist/9_w6azeJGTMFKInhqn,https://www.kkbox.com/tw/en/song/WqFawKpKTPWt4w1g5c,https://www.kkbox.com/tw/en/album/Gsfjgq_jG1L3GScYcR,"https://i.kfs.io/album/global/289217226,0v2/fit/500x500.jpg",1770048000,false
2026-08-31,2026-02-16,2026-02-19,weekly,mandarin,newrelease,2,21,9_xt4xwuL75jKXqhmv,單程票,,單程票,派偉俊 (Patrick Brasca),https://www.kkbox.com/tw/en/artist/8tdWqMpHItW_hZrG3I,https://www.kkbox.com/tw/en/song/9_xt4xwuL75jKXqhmv,https://www.kkbox.com/tw/en/album/-npcZCAYNWEdZRyxIv,"https://i.kfs.io/album/global/289625159,0v2/fit/500x500.jpg",1770739200,false
2026-08-31,2026-02-16,2026-02-19,weekly,mandarin,newrelease,3,1,KpfMyLRksGgkox8lDL,我也我也,,我也我也,郭家瑋,https://www.kkbox.com/tw/en/artist/4tq_Maj58jt7EeQvQb,https://www.kkbox.com/tw/en/song/KpfMyLRksGgkox8lDL,https://www.kkbox.com/tw/en/album/9YZBG-wXpTG8Kaib5p,"https://i.kfs.io/album/global/288603525,0v3/fit/500x500.jpg",1769443200,false
2026-08-31,2026-02-16,2026-02-19,weekly,mandarin,newrelease,4,11,4qW5pItMWUFot4I_Pu,想要保護的 - 電影《功夫》主題曲,,想要保護的 - 電影《功夫》主題曲,Bii畢書盡,https://www.kkbox.com/tw/en/artist/PX1LARGILmWjgk723m,https://www.kkbox.com/tw/en/song/4qW5pItMWUFot4I_Pu,https://www.kkbox.com/tw/en/album/OsYos7EoqcVQZi6APQ,"https://i.kfs.io/album/global/288791831,0v3/fit/500x500.jpg",1770048000,false
2026-08-31,2026-02-16,2026-02-19,weekly,mandarin,newrelease,5,4,CqVusdRCUh-78Xwuw5,可惜不可以,,可惜不可以,蔡旻佑 (Evan Yo),https://www.kkbox.com/tw/en/artist/GpQ2CbPEBUDsiTRtMp,https://www.kkbox.com/tw/en/song/CqVusdRCUh-78Xwuw5,https://www.kkbox.com/tw/en/album/L_JNEI8OYWLlSJjA4Z,"https://i.kfs.io/album/global/288677677,0v1/fit/500x500.jpg",1769011200,false
2026-08-31,2026-02-16,2026-02-19,weekly,mandarin,newrelease,6,7,OlwhGv2oS497YYfBns,牡羊座的浪漫,,牡羊座的浪漫,C.Y 蔡承祐,https://www.kkbox.com/tw/en/artist/Oq4jAt2GTHuFo52U70,https://www.kkbox.com/tw/en/song/OlwhGv2oS497YYfBns,https://www.kkbox.com/tw/en/album/9XNXBNgHC0_tks1Qpd,"https://i.kfs.io/album/global/288276569,0v2/fit/500x500.jpg",1769097600,false
2026-08-31,2026-02-16,2026-02-19,weekly,mandarin,newrelease,7,5,8rLgZoNU59bDTzJVKw,I Need You,,I Need You,動力火車 (Power Station),https://www.kkbox.com/tw/en/artist/8t-sfOpHItW_g3GiAp,https://www.kkbox.com/tw/en/song/8rLgZoNU59bDTzJVKw,https://www.kkbox.com/tw/en/album/0mUyxS_rqw4InT4qY_,"https://i.kfs.io/album/global/288634883,0v1/fit/500x500.jpg",1768838400,false
2026-08-31,2026-02-16,2026-02-19,weekly,mandarin,newrelease,8,6,GqvxFuUPHxj7NMotg7,都不難過了，好嗎？ - 影集《那些你不知道的我》插曲,,都不難過了，好嗎？ - 影集《那些你不知道的我》插曲,林佳辰,https://www.kkbox.com/tw/en/artist/4s1HCpd7YqFkCY2a8Z,https://www.kkbox.com/tw/en/song/GqvxFuUPHxj7NMotg7,https://www.kkbox.com/tw/en/album/DasFplBOnP602bllyX,"https://i.kfs.io/album/global/288275893,0v3/fit/500x500.jpg",1768838400,false
2026-08-31,2026-02-16,2026-02-19,weekly,mandarin,newrelease,9,9,WkctQuRJPowclrR3Qi,黏踢踢,,黏踢踢,黃文廷,https://www.kkbox.com/tw/en/artist/-m37DbR73hqzCfYho3,https://www.kkbox.com/tw/en/song/WkctQuRJPowclrR3Qi,https://www.kkbox.com/tw/en/album/LXiEzO8jKFATssfNa_,"https://i.kfs.io/album/global/288644531,0v3/fit/500x500.jpg",1769702400,false
2026-08-31,2026-02-16,2026-02-19,weekly,mandarin,newrelease,10,16,Kr-vo7Fn6Il0A8akMS,白傷心了,,白傷心了,Ariel Tsai (蔡佩軒),https://www.kkbox.com/tw/en/artist/DXgK_TQF1asjFUuaDV,https://www.kkbox.com/tw/en/song/Kr-vo7Fn6Il0A8akMS,https://www.kkbox.com/tw/en/album/LaNwnrQMR5JlkQEx9c,"https://i.kfs.io/album/global/288675206,0v1/fit/500x500.jpg",1769702400,false
2026-08-31,2026-02-16,2026-02-19,weekly,mandarin,newrelease,11,13,P-ePbmRWhnTePfGpT9,我想我又想你了,,我想我又想你了,PPlin 林芃逸,https://www.kkbox.com/tw/en/artist/5XmD3IHE-xgqddYPux,https://www.kkbox.com/tw/en/song/P-ePbmRWhnTePfGpT9,https://www.kkbox.com/tw/en/album/CpPUkzS0aw7YA4EYGT,"https://i.kfs.io/album/global/287814071,0v2/fit/500x500.jpg",1769097600,false
2026-08-31,2026-02-16,2026-02-19,weekly,mandarin,newrelease,12,12,9_55Lnw-L75jJWZXHE,本能動作,,本能動作,晨悠CHENYO,https://www.kkbox.com/tw/en/artist/LYMokmi2qDphEPIqgn,https://www.kkbox.com/tw/en/song/9_55Lnw-L75jJWZXHE,https://www.kkbox.com/tw/en/album/4nUw_MK0zvZw3Ex7KY,"https://i.kfs.io/album/global/288401534,0v3/fit/500x500.jpg",1769097600,false
2026-08-31,2026-02-16,2026-02-19,weekly,mandarin,newrelease,13,20,0m9XJNQc-zGvNI-nvm,"寫一首歌 APRIL 5, 1969 - 滾石撞樂隊2 (原唱:順子)",,"滾石撞樂隊2 - 寫一首歌 APRIL 5, 1969",163braces,https://www.kkbox.com/tw/en/artist/Gk7x2SZ3ap2pKVPMy5,https://www.kkbox.com/tw/en/song/0m9XJNQc-zGvNI-nvm,https://www.kkbox.com/tw/en/album/-k0oRQPhzpOHTlHnkx,"https://i.kfs.io/album/global/288305408,0v1/fit/500x500.jpg",1768924800,false
2026-08-31,2026-02-16,2026-02-19,weekly,mandarin,newrelease,14,15,Okc1MHCnwySdJxJFET,戒不掉你的愛,,戒不掉你的愛 (feat. Marz23),閻奕格 Janice Yan,https://www.kkbox.com/tw/en/artist/9-Zi4D8QpgvpOYB0_8,https://www.kkbox.com/tw/en/song/Okc1MHCnwySdJxJFET,https://www.kkbox.com/tw/en/album/Op3NmWIQB1A89GAHdH,"https://i.kfs.io/album/global/288644538,0v3/fit/500x500.jpg",1769443200,false
2026-08-31,2026-02-16,2026-02-19,weekly,mandarin,newrelease,15,,Cn4BuZmZUCArpzbAoi,3721,,3721,AuZTIN,https://www.kkbox.com/tw/en/artist/8qrgk-jV89Yak4-MVi,https://www.kkbox.com/tw/en/song/Cn4BuZmZUCArpzbAoi,https://www.kkbox.com/tw/en/album/8tdvUAJsZgqWfB6_4L,"https://i.kfs.io/album/global/289229547,0v1/fit/500x500.jpg",1770998400,false
2026-08-31,2026-02-16,2026-02-19,weekly,mandarin,newrelease,16,18,HZS-HXdCEYKfnaN6dr,心碎的梦,,心碎的梦,卡带森林,https://www.kkbox.com/tw/en/artist/LXcgLhxhSEf7RE54Cq,https://www.kkbox.com/tw/en/song/HZS-HXdCEYKfnaN6dr,https://www.kkbox.com/tw/en/album/GkY9mvCOx3YZLE91pK,"https://i.kfs.io/album/global/288401223,0v1/fit/500x500.jpg",1768838400,false
2026-08-31,2026-02-16,2026-02-19,weekly,mandarin,newrelease,17,14,HacFq3R1E8K3b3KRl9,普通的日子（電影「深度安靜」宣傳曲）,,普通的日子（電影「深度安靜」宣傳曲）,魏如萱 (waa wei),https://www.kkbox.com/tw/en/artist/XZQ5iLOqKE5MxzRzDt,https://www.kkbox.com/tw/en/song/HacFq3R1E8K3b3KRl9,https://www.kkbox.com/tw/en/album/HalgAMuf_dvJJFLIz-,"https://i.kfs.io/album/global/288506563,0v1/fit/500x500.jpg",1768924800,false
2026-08-31,2026-02-16,2026-02-19,weekly,mandarin,newrelease,18,17,DXXiUhIyg_DL8lohV9,第七根菸,,第七根菸,李佳歡 (Kaia Lee),https://www.kkbox.com/tw/en/artist/GpxQBMPEBUDsi7q7cz,https://www.kkbox.com/tw/en/song/DXXiUhIyg_DL8lohV9,https://www.kkbox.com/tw/en/album/0lquojYe-BNMye3w_G,"https://i.kfs.io/album/global/288505239,0v3/fit/500x500.jpg",1769702400,false
2026-08-31,2026-02-16,2026-02-19,weekly,mandarin,newrelease,19,38,9ZiPua0-s_ZpFcd_Ig,阿福羅火山,,阿福羅火山,比莉,https://www.kkbox.com/tw/en/artist/4qOvKSuQBSuh2AngaO,https://www.kkbox.com/tw/en/song/9ZiPua0-s_ZpFcd_Ig,https://www.kkbox.com/tw/en/album/Gr1Wnm0JSVBLbf8V3w,"https://i.kfs.io/album/global/289077854,0v1/fit/500x500.jpg",1769702400,false
2026-08-31,2026-02-16,2026-02-19,weekly,mandarin,newrelease,20,24,WpFR4tFLaMOw9XKFok,沉默那麼的痛,,沉默那麼的痛,宏兒 Kuan Hong,https://www.kkbox.com/tw/en/artist/CnpuTbiJFt4y5ELaWr,https://www.kkbox.com/tw/en/song/WpFR4tFLaMOw9XKFok,https://www.kkbox.com/tw/en/album/GrTiju0JSVBLaFm86S,"https://i.kfs.io/album/global/288537541,0v1/fit/500x500.jpg",1769097600,false
2026-08-31,2026-02-16,2026-02-19,weekly,mandarin,newrelease,21,28,Klv2pQWYBZNADz2OH9,時間之歌 -電影《陽光女子合唱團》典藏曲,,時間之歌 -電影《陽光女子合唱團》典藏曲,翁倩玉 (Judy Ongg),https://www.kkbox.com/tw/en/artist/0obrKMAqAZvsPhvfqh,https://www.kkbox.com/tw/en/song/Klv2pQWYBZNADz2OH9,https://www.kkbox.com/tw/en/album/-oh8UMxc2jy1y_B3qs,"https://i.kfs.io/album/global/288902409,0v1/fit/500x500.jpg",1770134400,false
2026-08-31,2026-02-16,2026-02-19,weekly,mandarin,newrelease,22,19,Gkh6HFvenSw3S_ejJM,拼一個浪漫,,拼一個浪漫,PIZZALI,https://www.kkbox.com/tw/en/artist/4mTMlx6PNyolYM9tYi,https://www.kkbox.com/tw/en/song/Gkh6HFvenSw3S_ejJM,https://www.kkbox.com/tw/en/album/XZxwCBTSigL070me2z,"https://i.kfs.io/album/global/288635551,0v3/fit/500x500.jpg",1769443200,false
2026-08-31,2026-02-16,2026-02-19,weekly,mandarin,newrelease,23,27,4pXM_HTxiO7N5eD68g,無神論,,無神論,ØZI,https://www.kkbox.com/tw/en/artist/CmCnaKnT1F5sNfK8-z,https://www.kkbox.com/tw/en/song/4pXM_HTxiO7N5eD68g,https://www.kkbox.com/tw/en/album/WnG7zlHnUikGj1iJLw,"https://i.kfs.io/album/global/289048624,0v2/fit/500x500.jpg",1770048000,false
2026-08-31,2026-02-16,2026-02-19,weekly,mandarin,newrelease,24,30,0rTZPwPx97UdyrAneA,我的錯,,我的錯,Karencici,https://www.kkbox.com/tw/en/artist/4sI_p8dLYqFkAZdMDd,https://www.kkbox.com/tw/en/song/0rTZPwPx97UdyrAneA,https://www.kkbox.com/tw/en/album/4m17UpBU2kVG7mkIPA,"https://i.kfs.io/album/global/288953453,0v1/fit/500x500.jpg",1769443200,false
2026-08-31,2026-02-16,2026-02-19,weekly,mandarin,newrelease,25,59,-nGuFXcoz-Jyjf5Zrp,100次說分手,,100次說分手,Jocelyn 9.4.0,https://www.kkbox.com/tw/en/artist/H-UsRh6kvbB0X2o60t,https://www.kkbox.com/tw/en/song/-nGuFXcoz-Jyjf5Zrp,https://www.kkbox.com/tw/en/album/Glqsx8QAs-18DbDAUL,"https://i.kfs.io/album/global/289136589,0v2/fit/500x500.jpg",1770652800,false
2026-08-31,2026-02-16,2026-02-19,weekly,mandarin,newrelease,26,37,PZXqCmTVfVd6hx2IqN,LET GO,,LET GO,福夢 (FUMON),https://www.kkbox.com/tw/en/artist/PaNPe0TCBoelDe04BL,https://www.kkbox.com/tw/en/song/PZXqCmTVfVd6hx2IqN,https://www.kkbox.com/tw/en/album/-kb-dHPhzpOHQrDM6d,"https://i.kfs.io/album/global/288903869,0v1/fit/500x500.jpg",1770307200,false
2026-08-31,2026-02-16,2026-02-19,weekly,mandarin,newrelease,27,39,KsNLV_kHfpSTTRkmF0,离开我的依赖 - Live,,声生不息·华流季 - 第11期 Live,Various Artists,#,https://www.kkbox.com/tw/en/song/KsNLV_kHfpSTTRkmF0,https://www.kkbox.com/tw/en/album/H-lwTt9JibEcUDlvo3,"https://i.kfs.io/album/global/289238337,0v1/fit/500x500.jpg",1769788800,false
2026-08-31,2026-02-16,2026-02-19,weekly,mandarin,newrelease,28,31,8sm8NQv9V0ZqncOyfB,我知道你已經不愛,,我知道你已經不愛,利善榛 (Cindy),#,#,#,"https://i.kfs.io/album/global/288846511,0v3/fit/500x500.jpg",1769702400,false
2026-08-31,2026-02-16,2026-02-19,weekly,mandarin,newrelease,29,,5-fYo8UOi4L5ospwtv,剛剛好,,剛剛好,李玉璽 (Dino Lee),https://www.kkbox.com/tw/en/artist/PaHOlATCBoelCBhbAn,https://www.kkbox.com/tw/en/song/5-fYo8UOi4L5ospwtv,https://www.kkbox.com/tw/en/album/4l9XO0Vh6lescKtfY9,"https://i.kfs.io/album/global/289794063,0v1/fit/500x500.jpg",1770912000,false
2026-08-31,2026-02-16,2026-02-19,weekly,mandarin,newrelease,30,40,-mqEBHsjyaWqUw_rgl,東京巴黎,,東京巴黎,HowZ,https://www.kkbox.com/tw/en/artist/___v0LCtv1wl3SAo92,https://www.kkbox.com/tw/en/song/-mqEBHsjyaWqUw_rgl,https://www.kkbox.com/tw/en/album/5Y6fKWtXsLpPxpZwPU,"https://i.kfs.io/album/global/286611230,0v2/fit/500x500.jpg",1770134400,false
