captured_date,period_suffix,returned_date,timeframe,genre,chart_type,rank_this_period,rank_last_period,song_id,song_name,album_id,album_name,artist_name,artist_url,song_url,album_url,cover_image_url,release_date_unix,is_album_entry
2026-08-31,2026-05-25,2026-05-28,weekly,western,newrelease,1,1,PaFSpflqWKr80vcyzz,Shape of a Woman,,The Devil Wears Prada 2 (穿著Prada的惡魔2電影原聲帶) - Music From The Motion Picture,"Lady Gaga, Doechii, SIENNA SPIRO, Izzy Escobar",https://www.kkbox.com/tw/en/artist/Gteh-F_Fw6HSClfdab,https://www.kkbox.com/tw/en/song/PaFSpflqWKr80vcyzz,https://www.kkbox.com/tw/en/album/OtQW7gcREqbM8Dv8hY,"https://i.kfs.io/album/global/293043404,0v2/fit/500x500.jpg",1777564800,false
2026-08-31,2026-05-25,2026-05-28,weekly,western,newrelease,2,5,8rEdNSNE59bDR0ia5-,Hit the Wall,,Hit the Wall,Gracie Abrams,#,#,#,"https://i.kfs.io/album/global/293739424,0v3/fit/500x500.jpg",1778688000,false
2026-08-31,2026-05-25,2026-05-28,weekly,western,newrelease,3,2,CtdTGRO1USEGYCQYDd,Glamorous Life,,The Devil Wears Prada 2 (穿著Prada的惡魔2電影原聲帶) - Music From The Motion Picture,"Lady Gaga, Doechii, SIENNA SPIRO, Izzy Escobar",https://www.kkbox.com/tw/en/artist/Gteh-F_Fw6HSClfdab,https://www.kkbox.com/tw/en/song/CtdTGRO1USEGYCQYDd,https://www.kkbox.com/tw/en/album/OtQW7gcREqbM8Dv8hY,"https://i.kfs.io/album/global/293043404,0v2/fit/500x500.jpg",1777564800,false
2026-08-31,2026-05-25,2026-05-28,weekly,western,newrelease,4,6,OqYG_zvPMMmVfli9yF,Repeat It,,Repeat It,"Martin Garrix, Ed Sheeran",https://www.kkbox.com/tw/en/artist/9_qy-HfJGTMFKNuOcS,https://www.kkbox.com/tw/en/song/OqYG_zvPMMmVfli9yF,https://www.kkbox.com/tw/en/album/4mgIxuBU2kVG7976sn,"https://i.kfs.io/album/global/293481786,0v1/fit/500x500.jpg",1778774400,false
2026-08-31,2026-05-25,2026-05-28,weekly,western,newrelease,5,9,OsmOGC908UtsynpeaM,Dai Dai,,Dai Dai,"Shakira, Burna Boy",https://www.kkbox.com/tw/en/artist/5YZOenNRDF8ko2Tq8a,https://www.kkbox.com/tw/en/song/OsmOGC908UtsynpeaM,https://www.kkbox.com/tw/en/album/DXG3Q0IPYpMkhXdoq2,"https://i.kfs.io/album/global/293684498,0v15/fit/500x500.jpg",1778688000,false
2026-08-31,2026-05-25,2026-05-28,weekly,western,newrelease,6,,4s6Owk4TOGRFgfqhoq,Goals,,Goals (FIFA World Cup 2026™),"LISA, Anitta, Rema, FIFA Sound",https://www.kkbox.com/tw/en/artist/HYGe5b3oa-MNUMwZQZ,https://www.kkbox.com/tw/en/song/4s6Owk4TOGRFgfqhoq,https://www.kkbox.com/tw/en/album/PaGtmQOBDe7LUFOaHE,"https://i.kfs.io/album/global/293740739,0v2/fit/500x500.jpg",1779292800,false
2026-08-31,2026-05-25,2026-05-28,weekly,western,newrelease,7,3,OoXfV8pq32AqY9hi1M,Eurosummer - Girls Trip,,Midnight Sun: Girls Trip,Zara Larsson (莎拉萊森),https://www.kkbox.com/tw/en/artist/GoXtoHYsPJM_u35yL3,https://www.kkbox.com/tw/en/song/OoXfV8pq32AqY9hi1M,https://www.kkbox.com/tw/en/album/DXXHfDIPYpMkjLf9FW,"https://i.kfs.io/album/global/292963925,0v9/fit/500x500.jpg",1777564800,false
2026-08-31,2026-05-25,2026-05-28,weekly,western,newrelease,8,12,LYUTVSIEB5NipGh9ZT,MISS U,,MISS U,Henry Moodie,https://www.kkbox.com/tw/en/artist/8kIVtLSkC4BFWtruo5,https://www.kkbox.com/tw/en/song/LYUTVSIEB5NipGh9ZT,https://www.kkbox.com/tw/en/album/CmTQ1L8GAc3pxvdZBw,"https://i.kfs.io/album/global/292992858,0v6/fit/500x500.jpg",1778774400,false
2026-08-31,2026-05-25,2026-05-28,weekly,western,newrelease,9,10,Ot0p9Snd3DzwYn1hVg,Infinity (123),,Infinity (123),December 10,https://www.kkbox.com/tw/en/artist/8nOIy0cUM64-d_tx0n,https://www.kkbox.com/tw/en/song/Ot0p9Snd3DzwYn1hVg,https://www.kkbox.com/tw/en/album/4sMzvmoixHs9CmQ7EP,"https://i.kfs.io/album/global/293396094,0v2/fit/500x500.jpg",1778774400,false
2026-08-31,2026-05-25,2026-05-28,weekly,western,newrelease,10,4,4toBWuKYLX0lG7C16x,Bring Your Love,,Bring Your Love,Madonna & Sabrina Carpenter,#,#,#,"https://i.kfs.io/album/global/293072678,0v2/fit/500x500.jpg",1777478400,false
