captured_date,chart_name,genre,chart_type,rank,track_name,track_id,isrc,artist_name,artist_id,album_name,album_id,release_date,image_url
2026-08-27,韓語新歌日榜,korean,newrelease,1,給你的約定 (Promise),0n4pzhssHT59ZPOiHL,KRA302600255,SUPER JUNIOR-83z,Wmr7WvVkUtj1Khb1eZ,首張迷你專輯『Promise』,SmWCiJqigNqlRslO-b,2026-07-13,"https://i.kfs.io/album/global/295676273,0v1/fit/160x160.jpg"
2026-08-27,韓語新歌日榜,korean,newrelease,2,如初 (ONSAEMIRO),Cq_wv-QiUh-7_MK5mK,KRA302600259,SUPER JUNIOR-83z,Wmr7WvVkUtj1Khb1eZ,首張迷你專輯『Promise』,SmWCiJqigNqlRslO-b,2026-07-13,"https://i.kfs.io/album/global/295676273,0v1/fit/160x160.jpg"
2026-08-27,韓語新歌日榜,korean,newrelease,3,Gimme Dat Love,PahZ3wkaWKr804x3xC,KRA392600003,i-dle,DXQVoCQF1asjEu9yaW,We made,CmxnGk8GAc3pxdCfpd,2026-07-06,"https://i.kfs.io/album/global/295291857,0v1/fit/160x160.jpg"
2026-08-27,韓語新歌日榜,korean,newrelease,4,SOLOVE,KplN1vQEsGgkqfQrwv,KRA302600256,SUPER JUNIOR-83z,Wmr7WvVkUtj1Khb1eZ,首張迷你專輯『Promise』,SmWCiJqigNqlRslO-b,2026-07-13,"https://i.kfs.io/album/global/295676273,0v1/fit/160x160.jpg"
2026-08-27,韓語新歌日榜,korean,newrelease,5,友情至上 (More Than Love),_-ZN94_-B8cu2I2seo,KRA302600260,SUPER JUNIOR-83z,Wmr7WvVkUtj1Khb1eZ,首張迷你專輯『Promise』,SmWCiJqigNqlRslO-b,2026-07-13,"https://i.kfs.io/album/global/295676273,0v1/fit/160x160.jpg"
2026-08-27,韓語新歌日榜,korean,newrelease,6,Bad Name (Sung by 利特),Kpl91vQEsGgkp6y3tP,KRA302600257,SUPER JUNIOR-83z,Wmr7WvVkUtj1Khb1eZ,首張迷你專輯『Promise』,SmWCiJqigNqlRslO-b,2026-07-13,"https://i.kfs.io/album/global/295676273,0v1/fit/160x160.jpg"
2026-08-27,韓語新歌日榜,korean,newrelease,7,孤獨男 (GODOGNAM) (Sung by 金希澈),0ofrDCWXhv4OS0Dhxh,KRA302600258,SUPER JUNIOR-83z,Wmr7WvVkUtj1Khb1eZ,首張迷你專輯『Promise』,SmWCiJqigNqlRslO-b,2026-07-13,"https://i.kfs.io/album/global/295676273,0v1/fit/160x160.jpg"
2026-08-27,韓語新歌日榜,korean,newrelease,8,Morning,4sXfTt5jOGRFhtx3Jn,KRA392600004,i-dle,DXQVoCQF1asjEu9yaW,We made,CmxnGk8GAc3pxdCfpd,2026-07-06,"https://i.kfs.io/album/global/295291857,0v1/fit/160x160.jpg"
2026-08-27,韓語新歌日榜,korean,newrelease,9,Ice Cream,L-0OQAuhXlYLvoTJyM,USA2P2637645,YEONJUN,Ko66ET8BAz3AkIgZus,NO LABELS: PART 02,GmuWGzL0te5pD_0XV_,2026-07-10,"https://i.kfs.io/album/global/295712547,0v1/fit/160x160.jpg"
2026-08-27,韓語新歌日榜,korean,newrelease,10,Love Is Pain,0ohirUWXhv4OSP8n4w,KRA392600006,i-dle,DXQVoCQF1asjEu9yaW,We made,CmxnGk8GAc3pxdCfpd,2026-07-06,"https://i.kfs.io/album/global/295291857,0v1/fit/160x160.jpg"
