captured_date,chart_name,genre,chart_type,rank,track_name,track_id,isrc,artist_name,artist_id,album_name,album_id,release_date,image_url
2026-08-30,韓語單曲日榜,korean,single,1,BAD,PaH_c8lqWKr82AUEvT,KRD442600010,ATEEZ,4oUEIaodDH7zBNgxWD,GOLDEN HOUR : Part.5,P_rSjZaOKjgS70EBBK,2026-06-26,"https://i.kfs.io/album/global/293822642,0v3/fit/160x160.jpg"
2026-08-30,韓語單曲日榜,korean,single,2,Good Goodbye,Gs3-oHF0Z-QUZENK2D,KRA382506038,華莎 (HWASA),Orvghi6WblPkbLgzXd,Good Goodbye,KpyQW5tfaopkBHhIGr,2025-10-15,"https://i.kfs.io/album/global/285821457,0v1/fit/160x160.jpg"
2026-08-30,韓語單曲日榜,korean,single,3,Golden,5_1DOFsTMf04jOaXJ9,QZ8BZ2513510,"KPop Demon Hunters Cast, HUNTR/X, Saja Boys",Ot_WPZhblH1BOLXlbT,KPop Demon Hunters - Soundtrack from the Netflix Film,Gp9KBt3jWop22_3M6J,2025-06-20,"https://i.kfs.io/album/global/281602486,0v2/fit/160x160.jpg"
2026-08-30,韓語單曲日榜,korean,single,4,給你的約定 (Promise),0n4pzhssHT59ZPOiHL,KRA302600255,SUPER JUNIOR-83z,Wmr7WvVkUtj1Khb1eZ,首張迷你專輯『Promise』,SmWCiJqigNqlRslO-b,2026-07-13,"https://i.kfs.io/album/global/295676273,0v1/fit/160x160.jpg"
2026-08-30,韓語單曲日榜,korean,single,5,如初 (ONSAEMIRO),Cq_wv-QiUh-7_MK5mK,KRA302600259,SUPER JUNIOR-83z,Wmr7WvVkUtj1Khb1eZ,首張迷你專輯『Promise』,SmWCiJqigNqlRslO-b,2026-07-13,"https://i.kfs.io/album/global/295676273,0v1/fit/160x160.jpg"
2026-08-30,韓語單曲日榜,korean,single,6,CHOOM,CmN986hltBWGrzpUsU,KRA402600026,BABYMONSTER,CtBLzGOux-o4btpl6P,춤 (CHOOM),-pQB_rywReHVQPTgb2,2026-05-04,"https://i.kfs.io/album/global/292884745,0v1/fit/160x160.jpg"
2026-08-30,韓語單曲日榜,korean,single,7,Gimme Dat Love,PahZ3wkaWKr804x3xC,KRA392600003,i-dle,DXQVoCQF1asjEu9yaW,We made,CmxnGk8GAc3pxdCfpd,2026-07-06,"https://i.kfs.io/album/global/295291857,0v1/fit/160x160.jpg"
2026-08-30,韓語單曲日榜,korean,single,8,SOLOVE,KplN1vQEsGgkqfQrwv,KRA302600256,SUPER JUNIOR-83z,Wmr7WvVkUtj1Khb1eZ,首張迷你專輯『Promise』,SmWCiJqigNqlRslO-b,2026-07-13,"https://i.kfs.io/album/global/295676273,0v1/fit/160x160.jpg"
2026-08-30,韓語單曲日榜,korean,single,9,LEMONADE,4rnnB6qQSSJLoosnN2,KRA302600098,aespa,9-icI58ApgvpPEhWSV,第二張正規專輯『LEMONADE』,Cql4-OEBmpvC_iux9u,2026-05-29,"https://i.kfs.io/album/global/294161772,0v1/fit/160x160.jpg"
2026-08-30,韓語單曲日榜,korean,single,10,友情至上 (More Than Love),_-ZN94_-B8cu2I2seo,KRA302600260,SUPER JUNIOR-83z,Wmr7WvVkUtj1Khb1eZ,首張迷你專輯『Promise』,SmWCiJqigNqlRslO-b,2026-07-13,"https://i.kfs.io/album/global/295676273,0v1/fit/160x160.jpg"
2026-08-30,韓語單曲日榜,korean,single,11,It's Me,PZi9oGTVfVd6id0Obj,USA2P2617168,ILLIT (아일릿),HZWeA00DUOvYRYZxYU,MAMIHLAPINATAPAI,5XZAJi-RTkffL8m7Za,2026-04-30,"https://i.kfs.io/album/global/293036277,0v1/fit/160x160.jpg"
2026-08-30,韓語單曲日榜,korean,single,12,Bad Name (Sung by 利特),Kpl91vQEsGgkp6y3tP,KRA302600257,SUPER JUNIOR-83z,Wmr7WvVkUtj1Khb1eZ,首張迷你專輯『Promise』,SmWCiJqigNqlRslO-b,2026-07-13,"https://i.kfs.io/album/global/295676273,0v1/fit/160x160.jpg"
2026-08-30,韓語單曲日榜,korean,single,13,Express Mode,OlCd6x2YS497ZCRZbh,KRA302500305,SUPER JUNIOR,KsHua553FpT3UrMpbt,第十二張正規專輯『Super Junior25』,__1E95jU8IHVqtBfK9,2025-07-08,"https://i.kfs.io/album/global/282590692,0v1/fit/160x160.jpg"
2026-08-30,韓語單曲日榜,korean,single,14,孤獨男 (GODOGNAM) (Sung by 金希澈),0ofrDCWXhv4OS0Dhxh,KRA302600258,SUPER JUNIOR-83z,Wmr7WvVkUtj1Khb1eZ,首張迷你專輯『Promise』,SmWCiJqigNqlRslO-b,2026-07-13,"https://i.kfs.io/album/global/295676273,0v1/fit/160x160.jpg"
2026-08-30,韓語單曲日榜,korean,single,15,HAErise,KtPz7CRFIXgP1zcjEu,ZZA0P2608791,東海 (DONGHAE),OrEWvz6WblPkaPH4cT,ALIVE,DZGQNEsv1aDjGcoFVh,2026-04-20,"https://i.kfs.io/album/tw/292372442,0v1/fit/160x160.jpg"
2026-08-30,韓語單曲日榜,korean,single,16,Soda Pop,DYGV05rrri5YRwbG9U,QZ8BZ2513509,"KPop Demon Hunters Cast, HUNTR/X, Saja Boys",Ot_WPZhblH1BOLXlbT,KPop Demon Hunters - Soundtrack from the Netflix Film,Gp9KBt3jWop22_3M6J,2025-06-20,"https://i.kfs.io/album/global/281602486,0v2/fit/160x160.jpg"
2026-08-30,韓語單曲日榜,korean,single,17,Morning,4sXfTt5jOGRFhtx3Jn,KRA392600004,i-dle,DXQVoCQF1asjEu9yaW,We made,CmxnGk8GAc3pxdCfpd,2026-07-06,"https://i.kfs.io/album/global/295291857,0v1/fit/160x160.jpg"
2026-08-30,韓語單曲日榜,korean,single,18,DRIP,4sKLJA4jOGRFiwq7_r,KRA402400056,BABYMONSTER,CtBLzGOux-o4btpl6P,DRIP,CpjNBkSkaw7YBygo2I,2024-11-01,"https://i.kfs.io/album/global/275785734,0v1/fit/160x160.jpg"
2026-08-30,韓語單曲日榜,korean,single,19,REDRED,PXMN4eD78IwsC9XnC0,USA2P2607175,CORTIS,5-kShWVM8AiCKE4pNg,REDRED,HYxiraiwU1EtVDXMmW,2026-04-20,"https://i.kfs.io/album/global/292613325,0v1/fit/160x160.jpg"
2026-08-30,韓語單曲日榜,korean,single,20,HOME SWEET HOME,0sg6nPYCDz1b8vka1E,USUYG1584687,"G-DRAGON, TAEYANG, DAESUNG",H-4Fm96EvbB0WSsnba,HOME SWEET HOME (feat. TAEYANG & DAESUNG),-k8cMDPxzpOHQkcrs5,2024-11-22,"https://i.kfs.io/album/global/276592163,0v1/fit/160x160.jpg"
2026-08-30,韓語單曲日榜,korean,single,21,Runaway,ClegxU7oFKtg0FBDbU,KRA302600247,厲旭 (RYEOWOOK),4k0LRsxqN3_1LJVQLW,Runaway,5XywSB-RTkffLB4epn,2026-06-23,"https://i.kfs.io/album/global/294938202,0v1/fit/160x160.jpg"
2026-08-30,韓語單曲日榜,korean,single,22,Whiplash,CnzWwbmpUCArqpltOB,KRA302400341,aespa,9-icI58ApgvpPEhWSV,第五張迷你專輯『Whiplash』,-okOpfxM2jy1xdV2Kw,2024-10-21,"https://i.kfs.io/album/global/275472926,0v1/fit/160x160.jpg"
2026-08-30,韓語單曲日榜,korean,single,23,"Good Day (Feat. Jay Park, 1iL)",HXMMH8PYaXJ8bIk2-D,ZZA0P2608446,東海 (DONGHAE),OrEWvz6WblPkaPH4cT,ALIVE,DZGQNEsv1aDjGcoFVh,2026-04-20,"https://i.kfs.io/album/tw/292372442,0v1/fit/160x160.jpg"
2026-08-30,韓語單曲日榜,korean,single,24,JUMP,CpU1GRD_XVWGtL-2-s,KRA402400094,BLACKPINK,Lay9a1HfMgHOuuhiSn,JUMP,LZLvfXku2Z7b1O5tIk,2025-07-11,"https://i.kfs.io/album/global/282816032,0v1/fit/160x160.jpg"
2026-08-30,韓語單曲日榜,korean,single,25,SUGAR HONEY ICE TEA,Gl2UmHHZylVNEP-N1A,KRA402600049,BABYMONSTER,CtBLzGOux-o4btpl6P,SUGAR HONEY ICE TEA,8qa9gprFOgKcuPPrn8,2026-06-08,"https://i.kfs.io/album/global/294312397,0v2/fit/160x160.jpg"
2026-08-30,韓語單曲日榜,korean,single,26,Dynamite,HXW6FeXIaXJ8YZgfUH,QM7282022872,BTS防彈少年團,PaE4NNTCBoelD0bYjc,BE,GsFz-95zG1L3H1Rlr9,2020-11-20,"https://i.kfs.io/album/global/145366435,0v1/fit/160x160.jpg"
2026-08-30,韓語單曲日榜,korean,single,27,Say Less,H-W6PhyqCJ6qzApjEl,KRA302500310,SUPER JUNIOR,KsHua553FpT3UrMpbt,第十二張正規專輯『Super Junior25』,__1E95jU8IHVqtBfK9,2025-07-08,"https://i.kfs.io/album/global/282590692,0v1/fit/160x160.jpg"
2026-08-30,韓語單曲日榜,korean,single,28,Ice Cream,L-0OQAuhXlYLvoTJyM,USA2P2637645,YEONJUN,Ko66ET8BAz3AkIgZus,NO LABELS: PART 02,GmuWGzL0te5pD_0XV_,2026-07-10,"https://i.kfs.io/album/global/295712547,0v1/fit/160x160.jpg"
2026-08-30,韓語單曲日榜,korean,single,29,GO!,5YaTBwhXhYuu0txarz,USA2P2536188,CORTIS,5-kShWVM8AiCKE4pNg,COLOR OUTSIDE THE LINES,DZjGfQs_1aDjFAsCdN,2025-09-08,"https://i.kfs.io/album/global/284777295,0v1/fit/160x160.jpg"
2026-08-30,韓語單曲日榜,korean,single,30,Haircut,-s96Tp5Tgs1-DSjHbx,KRA302500306,SUPER JUNIOR,KsHua553FpT3UrMpbt,第十二張正規專輯『Super Junior25』,__1E95jU8IHVqtBfK9,2025-07-08,"https://i.kfs.io/album/global/282590692,0v1/fit/160x160.jpg"
