captured_date,chart_name,genre,chart_type,rank,track_name,track_id,isrc,artist_name,artist_id,album_name,album_id,release_date,image_url
2026-08-27,華語新歌日榜,mandarin,newrelease,1,甲乙丙丁Strangers - 你我怎麼兩清,GptIJ2y--IKc1ewMvC,QNSM12603046,李佳薇 (Jess Lee),Sr05tTDYLFcrm7ZrG5,甲乙丙丁Strangers,9Y2ZAXwXpTG8JCn0J5,2026-07-08,"https://i.kfs.io/album/global/295320632,0v2/fit/160x160.jpg"
2026-08-27,華語新歌日榜,mandarin,newrelease,2,All For You - 《蜘蛛人：重生日》電影片尾曲,XZSwAUqZIDECoTG_at,TWAP12600003,周興哲 (Eric Chou),TZghSjbKIgUdp9HKxN,All For You - 《蜘蛛人：重生日》電影片尾曲,4lWbluVh6lesdDLqE3,2026-07-16,"https://i.kfs.io/album/global/295641763,0v3/fit/160x160.jpg"
2026-08-27,華語新歌日榜,mandarin,newrelease,3,我不该动情,KoHtkcLhP2VFtXTvPO,GBLFP2606073,RG-老帅,Gqe1o_jgyaDAl3moPs,我不该动情,OkyBjGgaH9M2tsapZK,2026-07-15,"https://i.kfs.io/album/global/295535579,0v1/fit/160x160.jpg"
2026-08-27,華語新歌日榜,mandarin,newrelease,4,綿綿無絕期,4mF-SIg3f387qJrpfs,TWMD12600005,黃奇斌,KsmzXE5HFpT3WCi_Ls,虛華的夢想是一支刀,8ktHSstuGTiCLudE3z,2026-07-10,"https://i.kfs.io/album/global/295417051,0v1/fit/160x160.jpg"
2026-08-27,華語新歌日榜,mandarin,newrelease,5,第八大洋,HXax5ROoaXJ8aD4fIc,TWIK72600004,陳華,0oTfMmA6AZvsM647QC,第八大洋,8qWNcCrFOgKct_d4tD,2026-07-17,"https://i.kfs.io/album/global/295819006,0v2/fit/160x160.jpg"
2026-08-27,華語新歌日榜,mandarin,newrelease,6,愛上你不是我決定,Ot0y7-mt3DzwZMczk9,TWA472625001,蕭敬騰 (Jam Hsiao),OkBjD9NM0d0grgaNWb,愛上你不是我決定,1XzJ4aQHDReMFly1_a,2026-07-19,"https://i.kfs.io/album/global/295550340,0v3/fit/160x160.jpg"
2026-08-27,華語新歌日榜,mandarin,newrelease,7,如果有一天你回來,1Zzz6wv8mUN-50bCQM,TWA472699087,黃挺瑋,DY-tZXLrTDw-BTK7FA,Journey,CtwnvE63oP3rN913sf,2026-07-24,"https://i.kfs.io/album/global/295678670,0v2/fit/160x160.jpg"
2026-08-27,華語新歌日榜,mandarin,newrelease,8,重新把你寫進我100首情歌,H-n2Qcz6CJ6qzEz_AV,TWA472626001,李哲言 Jim Lee,OtBUyMgrlH1BPclTYZ,重新把你寫進我100首情歌,ClZxC1zRhWIkA-i_IL,2026-07-10,"https://i.kfs.io/album/global/295361667,0v3/fit/160x160.jpg"
2026-08-27,華語新歌日榜,mandarin,newrelease,9,如初,OtnubNmt3DzwbT3x3I,TWUM72600067,梁文音 (Wen Yin Liang),GtqqTE-Fw6HSAVw4OQ,如初,Os7bKpEoqcVQaDGlXu,2026-07-24,"https://i.kfs.io/album/global/296002712,0v2/fit/160x160.jpg"
2026-08-27,華語新歌日榜,mandarin,newrelease,10,當世界遺落你,ClwLyp6YFKtg2Zp4O2,TWA472699091,五堅情WOLF(S) (邱鋒澤、陳零九、黃偉晉、賴晏駒、婁峻碩),5_zXjM5eN1tMDtPH5Q,當世界遺落你,PY_MILuGqns_SzrThN,2026-07-14,"https://i.kfs.io/album/global/295365602,0v3/fit/160x160.jpg"
2026-08-27,華語新歌日榜,mandarin,newrelease,11,朝我心臟開槍 (Acoustic Live),9XmtLb1y3wYrCd2q-B,TWK232605405,Tizzy Bac,Gr7FGJYEMQFlP9jpy-,說出我的名字 (Acoustic Live),0norbn2ntCwouXaMgs,2026-07-29,"https://i.kfs.io/album/global/296328432,0v4/fit/160x160.jpg"
2026-08-27,華語新歌日榜,mandarin,newrelease,12,咱到遮就為止,Kq7TBG3B3UapHROuil,TWMD12600009,黃奇斌,KsmzXE5HFpT3WCi_Ls,虛華的夢想是一支刀,8ktHSstuGTiCLudE3z,2026-07-10,"https://i.kfs.io/album/global/295417051,0v1/fit/160x160.jpg"
2026-08-27,華語新歌日榜,mandarin,newrelease,13,停在那邊,H_vAXbtY6JmyxiC86m,TWCC32609432,王艷薇 (Evangeline),KrQ8nDYDyXr4nVUMe_,停在那邊,L_xY2h8OYWLlSQLzrv,2026-07-20,"https://i.kfs.io/album/global/295535564,0v1/fit/160x160.jpg"
2026-08-27,華語新歌日榜,mandarin,newrelease,14,有你的夏天,_Xsee_Ue0EWg_6c_Qs,TWA472699089,黃挺瑋,DY-tZXLrTDw-BTK7FA,有你的夏天,KoKF9ssa1IXU8inwFG,2026-07-07,"https://i.kfs.io/album/global/295183772,0v2/fit/160x160.jpg"
2026-08-27,華語新歌日榜,mandarin,newrelease,15,去年下的那場雪,SqdXL699V6Obz9CF-S,TWL252607508,派偉俊 (Patrick Brasca),8tdWqMpHItW_hZrG3I,BAD IDEA,LYrbXkmyCNxEvfWmsb,2026-07-31,"https://i.kfs.io/album/global/296500875,0v2/fit/160x160.jpg"
2026-08-27,華語新歌日榜,mandarin,newrelease,16,i,5X_z-jV_ELRueEqqeu,TWD952629103,babyMINT,GpuqmsP0BUDsgQgFr7,i,4kb75icHF4KmWBFiIa,2026-07-31,"https://i.kfs.io/album/global/296498935,0v1/fit/160x160.jpg"
2026-08-27,華語新歌日榜,mandarin,newrelease,17,變形記 - 影集《聰明鎮》宣傳曲,Grq90hCCk9ZkzIubCV,TWK232570032,法蘭 (Fran),9Xi2HJg5vg3gYgAMwW,變形記,8rzxbAU7LZoqOb1MbO,2026-08-03,"https://i.kfs.io/album/global/296558540,0v1/fit/160x160.jpg"
2026-08-27,華語新歌日榜,mandarin,newrelease,18,我以為,PXwu-QCL8IwsCcOLgt,GB2DY2607131,郭靜 (Claire Kuo),GlxgpK8JxUb99_U5eO,我以為,Kmb3CS96mUrTkrkVFn,2026-07-07,"https://i.kfs.io/album/global/295544283,0v1/fit/160x160.jpg"
2026-08-27,華語新歌日榜,mandarin,newrelease,19,BURNIN4U,Da-t0RNpK9m6HyYvcD,TWCC32608701,MIKE 張懷顥,GprKmaPkBUDsh1iRNO,BURNIN4U,0nk0jZ2ntCwouXhLXH,2026-07-10,"https://i.kfs.io/album/global/295133889,0v1/fit/160x160.jpg"
2026-08-27,華語新歌日榜,mandarin,newrelease,20,H. S. X. D.,Wn-iyEZDwvj1yqgx9Z,TWA472699086,黃挺瑋,DY-tZXLrTDw-BTK7FA,Journey,CtwnvE63oP3rN913sf,2026-07-24,"https://i.kfs.io/album/global/295678670,0v2/fit/160x160.jpg"
2026-08-27,華語新歌日榜,mandarin,newrelease,21,偏偏,0rQWcDPx97UdyMSDGb,TWCC32608724,洪暐哲WAJI,0s-swXUBC5Tq5vTwKq,偏偏,Sku-wR_6dNq4UeLLVO,2026-07-16,"https://i.kfs.io/album/global/295086705,0v2/fit/160x160.jpg"
2026-08-27,華語新歌日榜,mandarin,newrelease,22,老朋友,CpRJZ9CvXVWGuu10IT,TWMD12600007,黃奇斌,KsmzXE5HFpT3WCi_Ls,虛華的夢想是一支刀,8ktHSstuGTiCLudE3z,2026-07-10,"https://i.kfs.io/album/global/295417051,0v1/fit/160x160.jpg"
2026-08-27,華語新歌日榜,mandarin,newrelease,23,BAD IDEA,Oo6STwoa32AqYNvWuk,TWL252607501,派偉俊 (Patrick Brasca),8tdWqMpHItW_hZrG3I,BAD IDEA,KpRc0TtfaopkB0eknj,2026-07-17,"https://i.kfs.io/album/global/295928477,0v2/fit/160x160.jpg"
2026-08-27,華語新歌日榜,mandarin,newrelease,24,違心謊,P_OEqndKadNrg7MSFi,TWA472699088,黃挺瑋,DY-tZXLrTDw-BTK7FA,Journey,CtwnvE63oP3rN913sf,2026-07-24,"https://i.kfs.io/album/global/295678670,0v2/fit/160x160.jpg"
2026-08-27,華語新歌日榜,mandarin,newrelease,25,殼 - HBO原創影集《來！金來號！》片尾曲,Ot3t7Rmt3DzwY2sgYN,TWAP12600005,周興哲 (Eric Chou),TZghSjbKIgUdp9HKxN,殼 - HBO原創影集《來！金來號！》片尾曲,OsZHykEoqcVQa0L_lE,2026-07-31,"https://i.kfs.io/album/global/296315409,0v3/fit/160x160.jpg"
2026-08-27,華語新歌日榜,mandarin,newrelease,26,別戀,GlBFliGpylVNGJobCq,TWL252607503,派偉俊 (Patrick Brasca),8tdWqMpHItW_hZrG3I,BAD IDEA,LYrbXkmyCNxEvfWmsb,2026-07-31,"https://i.kfs.io/album/global/296500875,0v2/fit/160x160.jpg"
2026-08-27,華語新歌日榜,mandarin,newrelease,27,唱完這首歌就忘記你,5_0z5XtDMf04iubAIY,TWMD12600011,黃奇斌,KsmzXE5HFpT3WCi_Ls,虛華的夢想是一支刀,8ktHSstuGTiCLudE3z,2026-07-10,"https://i.kfs.io/album/global/295417051,0v1/fit/160x160.jpg"
2026-08-27,華語新歌日榜,mandarin,newrelease,28,最好我先愛你,P_YNxHc6adNrjG7Xyt,TWZ752650707,蕭子墨 (ZiMo Hsiao),DZw5QEBYzZZ2RicM1Y,最好我先愛你,9-oKdZlymwqbIjfdqn,2026-07-07,"https://i.kfs.io/album/global/295170273,0v2/fit/160x160.jpg"
2026-08-27,華語新歌日榜,mandarin,newrelease,29,穿上你的愛,5awkuNfjyKyO5YqCv2,TWL252607505,派偉俊 (Patrick Brasca),8tdWqMpHItW_hZrG3I,BAD IDEA,LYrbXkmyCNxEvfWmsb,2026-07-31,"https://i.kfs.io/album/global/296500875,0v2/fit/160x160.jpg"
