captured_date,chart_name,genre,chart_type,rank,track_name,track_id,isrc,artist_name,artist_id,album_name,album_id,release_date,image_url
2026-08-11,華語單曲日榜,mandarin,single,1,甲乙丙丁 - 你我怎麼兩清,GptIJ2y--IKc1ewMvC,QNSM12603046,李佳薇 (Jess Lee),Sr05tTDYLFcrm7ZrG5,甲乙丙丁,9Y2ZAXwXpTG8JCn0J5,2026-07-08,"https://i.kfs.io/album/global/295320632,0v2/fit/160x160.jpg"
2026-08-11,華語單曲日榜,mandarin,single,2,沒有人像我一樣 - 影集《欠妳的那場婚禮》主題曲,4njo1hg43TYurFIZjC,TWK232684140,宇宙人 (Cosmos People),Lai8PoHfMgHOt_XWaz,沒有人像我一樣,9ayRooyTUhQp8_WVmy,2026-06-18,"https://i.kfs.io/album/global/294848912,0v1/fit/160x160.jpg"
2026-08-11,華語單曲日榜,mandarin,single,3,All For You - 《蜘蛛人：重生日》電影片尾曲,XZSwAUqZIDECoTG_at,TWAP12600003,周興哲 (Eric Chou),TZghSjbKIgUdp9HKxN,All For You - 《蜘蛛人：重生日》電影片尾曲,4lWbluVh6lesdDLqE3,2026-07-16,"https://i.kfs.io/album/global/295641763,0v3/fit/160x160.jpg"
2026-08-11,華語單曲日榜,mandarin,single,4,我不该动情,KoHtkcLhP2VFtXTvPO,GBLFP2606073,RG-老帅,Gqe1o_jgyaDAl3moPs,我不该动情,OkyBjGgaH9M2tsapZK,2026-07-15,"https://i.kfs.io/album/global/295535579,0v1/fit/160x160.jpg"
2026-08-11,華語單曲日榜,mandarin,single,5,離開我的依賴,9ZH06Yn-s_ZpFJYVjQ,TWCC32000995,王艷薇 (Evangeline),KrQ8nDYDyXr4nVUMe_,離開我的依賴,L_vAwc5eYWLlQInikR,2020-02-17,"https://i.kfs.io/album/tw/69206709,0v1/fit/160x160.jpg"
2026-08-11,華語單曲日榜,mandarin,single,6,看著我的眼睛說,GoiHhDGwV7_OegDFh_,TWHD32507557,張遠,WrzBKxdmI7VXetTMJ5,看著我的眼睛說,5Yodo5tHsLpPwizqk3,2025-05-16,"https://i.kfs.io/album/global/280657750,0v1/fit/160x160.jpg"
2026-08-11,華語單曲日榜,mandarin,single,7,綿綿無絕期,4mF-SIg3f387qJrpfs,TWMD12600005,黃奇斌,KsmzXE5HFpT3WCi_Ls,虛華的夢想是一支刀,8ktHSstuGTiCLudE3z,2026-07-10,"https://i.kfs.io/album/global/295417051,0v1/fit/160x160.jpg"
2026-08-11,華語單曲日榜,mandarin,single,8,海嶼你,9XjRo9xi3wYrBpOzqC,HKG732264813,"马也Crabbit, Cole先生",8t3CAdpnItW_gz8DsB,海嶼你,Kr8u0Tx0QPhDA_o7ga,2022-08-20,"https://i.kfs.io/album/global/223493591,0v1/fit/160x160.jpg"
2026-08-11,華語單曲日榜,mandarin,single,9,幸福在歌唱 - 電影《陽光女子合唱團》幸福版主題曲,D-jLjjQmldMin6-umY,TWA472599060,A-Lin,Osbh3TUzyafhBl0WD5,幸福在歌唱 - 電影《陽光女子合唱團》幸福版主題曲,WkSA_CFzIvVnnfP3rz,2025-12-26,"https://i.kfs.io/album/global/287649251,0v3/fit/160x160.jpg"
2026-08-11,華語單曲日榜,mandarin,single,10,若無你我欲去佗位,8lbST5k3vIvokHdM4z,TWMD12500001,黃奇斌,KsmzXE5HFpT3WCi_Ls,若無你我欲去佗位,KmK6bY9qmUrTmadfgb,2025-07-10,"https://i.kfs.io/album/global/282555295,0v2/fit/160x160.jpg"
2026-08-11,華語單曲日榜,mandarin,single,11,第八大洋,HXax5ROoaXJ8aD4fIc,TWIK72600004,陳華,0oTfMmA6AZvsM647QC,第八大洋,8qWNcCrFOgKct_d4tD,2026-07-17,"https://i.kfs.io/album/global/295819006,0v2/fit/160x160.jpg"
2026-08-11,華語單曲日榜,mandarin,single,12,太陽與地球,0spVFXYiDz1b8uI2zi,TWK012500019,盧廣仲 (Crowd Lu),8qCONzjl89Yak9KFxZ,HeartBreakFast 傷心早餐店,XaoCreLkPrbA7zKtNb,2025-09-17,"https://i.kfs.io/album/global/284812128,0v5/fit/160x160.jpg"
2026-08-11,華語單曲日榜,mandarin,single,13,Jumping Machine (跳樓機),9YnRorQutUrZ3I2Jpm,QNSM12402701,LBI利比,0ozm5tA6AZvsNywjDB,Jumping Machine (跳樓機),8nSvm5bEHSCv12kazr,2025-01-23,"https://i.kfs.io/album/global/277994877,0v2/fit/160x160.jpg"
2026-08-11,華語單曲日榜,mandarin,single,14,愛上你不是我決定,Ot0y7-mt3DzwZMczk9,TWA472625001,蕭敬騰 (Jam Hsiao),OkBjD9NM0d0grgaNWb,愛上你不是我決定,1XzJ4aQHDReMFly1_a,2026-07-19,"https://i.kfs.io/album/global/295550340,0v3/fit/160x160.jpg"
2026-08-11,華語單曲日榜,mandarin,single,15,不愛就不愛,HZEdODdiEYKflMA1Jk,TWUM72400124,艾薇 Ivy,SkYfuVHgT10-nfv3Tz,不愛就不愛,5YdTDztHsLpPwhkXo5,2024-11-02,"https://i.kfs.io/album/global/275813762,0v1/fit/160x160.jpg"
2026-08-11,華語單曲日榜,mandarin,single,16,如果有一天你回來,1Zzz6wv8mUN-50bCQM,TWA472699087,黃挺瑋,DY-tZXLrTDw-BTK7FA,Journey,CtwnvE63oP3rN913sf,2026-07-24,"https://i.kfs.io/album/global/295678670,0v2/fit/160x160.jpg"
2026-08-11,華語單曲日榜,mandarin,single,17,像晴天像雨天（電視劇《難哄》心動曲）,PaUfrPlKWKr81BoLp7,HKG731406560,Various Artists,LY5scHimqDphGqy41I,電視劇《難哄》影視原聲帶·只喜歡你Love Moments,GmQkKOLkte5pAC95oL,2025-02-18,"https://i.kfs.io/album/tw/278729944,0v1/fit/160x160.jpg"
2026-08-11,華語單曲日榜,mandarin,single,18,重新把你寫進我100首情歌,H-n2Qcz6CJ6qzEz_AV,TWA472626001,李哲言 Jim Lee,OtBUyMgrlH1BPclTYZ,重新把你寫進我100首情歌,ClZxC1zRhWIkA-i_IL,2026-07-10,"https://i.kfs.io/album/global/295361667,0v3/fit/160x160.jpg"
2026-08-11,華語單曲日榜,mandarin,single,19,過了幾天(合唱版),-nnYEQcIz-Jyguloms,TWCT52438790,郭家瑋,4tq_Maj58jt7EeQvQb,過了幾天(合唱版),P-dFYbhjmaj9rmYlzg,2024-12-22,"https://i.kfs.io/album/global/279294878,2v1/fit/160x160.jpg"
2026-08-11,華語單曲日榜,mandarin,single,20,一個人,CqfKc5RSUh-783ghi6,TWA472623001,A-Lin,Osbh3TUzyafhBl0WD5,一個人,8l2KWr3eIXErTO1mZK,2026-06-12,"https://i.kfs.io/album/global/294323878,0v3/fit/160x160.jpg"
2026-08-11,華語單曲日榜,mandarin,single,21,擱淺,KsNxNkw3fpSTS3_hs4,TWK970400706,周杰倫 (Jay Chou),GtjT_E-Fw6HSCE7jgQ,七里香,HZrRUFBCAsSpLkhfRr,2004-08-03,"https://i.kfs.io/album/tw/52025,1v3/fit/160x160.jpg"
