captured_date,chart_name,genre,chart_type,rank,track_name,track_id,isrc,artist_name,artist_id,album_name,album_id,release_date,image_url
2026-08-08,西洋新歌日榜,western,newrelease,1,Less than a Lover,GsIAexEUZ-QUYf1Wxx,USQX92604129,JENNIE,OrdH1K6WblPkZLIMSR,Less than a Lover,8qs2kKrFOgKcvQ63t7,2026-07-24,"https://i.kfs.io/album/global/296314901,0v3/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,2,Animal,_ZNEKbiVncpGOatS6E,USUM72602757,KATSEYE,CtEdLXOux-o4Z2Q8sB,Animal,-ltA1JYWp_79zb0Q47,2026-07-27,"https://i.kfs.io/album/global/296009041,0v2/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,3,petal,GlgVIbGpylVNE-YAz8,USUM72601822,Ariana Grande,Cptd-wtnOiWI7Ptkos,petal,Gsw-m5_jG1L3FUr1kp,2026-07-31,"https://i.kfs.io/album/global/296668023,0v2/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,4,ChecK,OpjsqAagzUmSYAwIaq,KRMIM2640634,孝琳 (Hyolyn),4oAKaKodDH7zBa9mPw,OriginaLyn,4rR7-QnAFoOyZrwQSV,2026-07-22,"https://i.kfs.io/album/tw/295878755,0v1/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,5,Take Me Back,Omn6BVL9TsIBfsH-00,SEBGA2600867,"Kygo, Max McNown",5YymfRNRDF8koc4-wj,Take Me Back,-rA5TbfJ1XBjLQiuLS,2026-07-10,"https://i.kfs.io/album/global/295338509,0v3/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,6,I'd Be Lyin',9XLBjs1y3wYrCrzQWC,QT6EB2663773,Kelly Clarkson (凱莉克萊森),KkMh1MlinYMj9a2oUf,I'd Be Lyin',CndPhmVF4d6Z3d5SXh,2026-07-17,"https://i.kfs.io/album/global/295219413,0v1/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,7,kiss me,HZ1r9hciEYKfnYU6gi,USUM72601820,Ariana Grande,Cptd-wtnOiWI7Ptkos,petal,Gsw-m5_jG1L3FUr1kp,2026-07-31,"https://i.kfs.io/album/global/296668023,0v2/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,8,Good Reason,CtE5gdPFUSEGap8mVt,USUG12603698,Gracie Abrams,HXy8wLKf8cmeHb4DVy,Daughter from Hell,GrrzN40JSVBLaAVnmO,2026-07-17,"https://i.kfs.io/album/global/296001572,0v2/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,9,stay,4t5AlCLoLX0lHfwuIA,USUM72601823,Ariana Grande,Cptd-wtnOiWI7Ptkos,petal,Gsw-m5_jG1L3FUr1kp,2026-07-31,"https://i.kfs.io/album/global/296668023,0v2/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,10,You Don't Feel The Way I Do,9YmlL5QOtUrZ0xx23r,US3DF2651481,Chris James,CmVsqwnT1F5sN81p-g,You Don't Feel The Way I Do,Oq6I6vbVHgkGi_WM-k,2026-07-10,"https://i.kfs.io/album/global/293857825,0v1/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,11,Us Against The World,4lYQbqyq9Z5EYbu14i,GBUM72603762,December 10,8nOIy0cUM64-d_tx0n,On Your Side,GmZ-OIL0te5pDkitEj,2026-07-10,"https://i.kfs.io/album/global/295417341,0v4/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,12,oh well,4oqWU-_6tWt5klwdgs,USUM72601824,Ariana Grande,Cptd-wtnOiWI7Ptkos,petal,Gsw-m5_jG1L3FUr1kp,2026-07-31,"https://i.kfs.io/album/global/296668023,0v2/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,13,satellite,D_3Emw-6Otw-YVAUW_,QM6N22639992,grentperez,KnGuxfls2J54hlwf4m,satellite,HYEtnCiwU1EtVlifee,2026-07-17,"https://i.kfs.io/album/global/292036377,0v1/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,14,"Talk To Me, Zara",GpovNMy--IKc0QAoNF,UK7MC2600138,"Robyn, Zara Larsson",OtpT3mgrlH1BPerbtR,"Talk To Me, Zara",SmwWywqigNqlTvPt4C,2026-07-28,"https://i.kfs.io/album/global/296152552,0v1/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,15,big feelings,CmuonfgVtBWGr9Tqqf,USUM72601825,Ariana Grande,Cptd-wtnOiWI7Ptkos,petal,Gsw-m5_jG1L3FUr1kp,2026-07-31,"https://i.kfs.io/album/global/296668023,0v2/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,16,YANKEE SQUAT,PXpqSSCL8IwsBfItbx,JPB602601757,ONE OR EIGHT,9_Epjqe5GTMFI5Txxa,YANKEE SQUAT,OrWs5f9OLG7iNX0Jfu,2026-07-15,"https://i.kfs.io/album/global/295593396,0v2/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,17,"nowhere, nobody",4m6QLdg3f387rgJRcQ,USUM72601830,Ariana Grande,Cptd-wtnOiWI7Ptkos,petal,Gsw-m5_jG1L3FUr1kp,2026-07-31,"https://i.kfs.io/album/global/296668023,0v2/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,18,freak,PXJp7MCL8IwsCCWtt_,USUM72601826,Ariana Grande,Cptd-wtnOiWI7Ptkos,petal,Gsw-m5_jG1L3FUr1kp,2026-07-31,"https://i.kfs.io/album/global/296668023,0v2/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,19,THAT GIRL,P-96IOQ2hnTeMluQEA,USSM12601378,Tyla,0m9wNddTA1bT5W37S7,A*POP,WoAHcPVHYBvu8ClTm7,2026-07-24,"https://i.kfs.io/album/global/296160486,0v12/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,20,like i do,L_cZ48zZ_NyBpyABrb,USUM72601827,Ariana Grande,Cptd-wtnOiWI7Ptkos,petal,Gsw-m5_jG1L3FUr1kp,2026-07-31,"https://i.kfs.io/album/global/296668023,0v2/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,21,never get over me,5-j51SV-i4L5qAKGIo,USUM72601828,Ariana Grande,Cptd-wtnOiWI7Ptkos,petal,Gsw-m5_jG1L3FUr1kp,2026-07-31,"https://i.kfs.io/album/global/296668023,0v2/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,22,bad thing (bunny hop),OnbXLRgbo9axOzphmW,USUM72601829,Ariana Grande,Cptd-wtnOiWI7Ptkos,petal,Gsw-m5_jG1L3FUr1kp,2026-07-31,"https://i.kfs.io/album/global/296668023,0v2/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,23,Reach Out,0tkLKkywKUfrBNikEl,USRC12601006,Victoria Monet,PY97vcI2ScLQk8trx5,Reach Out,SoNlHow9FOcHeA6S5n,2026-07-21,"https://i.kfs.io/album/global/296160576,0v3/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,24,Azul (Versão Espanhol),8numnRvFMjx8QscWDB,USUG12607516,Anitta,TazBoQy6ixtKcD8iIZ,EQUILIBRIVM II,XXwilk96EjhjDWFjNn,2026-07-24,"https://i.kfs.io/album/global/296255424,0v2/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,25,warning signs (interlude),WoK_g04T7FdqMfUMOQ,USUM72602118,Ariana Grande,Cptd-wtnOiWI7Ptkos,petal,Gsw-m5_jG1L3FUr1kp,2026-07-31,"https://i.kfs.io/album/global/296668023,0v2/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,26,I Feel You,Km5-KWU4R1boOB4bTD,AUWA02600161,Oliver Cronin,-qE0skHFGb0vNzFm-i,Lost On The Way To Paradise,LXQudk8jKFATuxPhKR,2026-07-17,"https://i.kfs.io/album/global/295630457,0v2/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,27,Bullets & Blades,CtShEJPFUSEGYI1036,USUYG1807427,Shaboozey,4sX2O-dLYqFkCznw-C,The Outlaw Cherie Lee & Other Western Tales,D_C5ocDasaFcMKUxKF,2026-07-31,"https://i.kfs.io/album/global/296541038,0v4/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,28,luck (feat. James Reid),5aRqu9fjyKyO7_Frtl,PHS032604142,Maki,4mhmrO6vNyolYAIETf,luck (feat. James Reid),8pvJ_a88vmYiMWmLER,2026-07-30,"https://i.kfs.io/album/global/295346333,0v2/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,29,Yes,4nvdqPhI3TYuqExGlF,ZZA0Z2600656,Ciara (席亞拉),5Y4eWRMRDF8kpAutA2,Yes,8rkxT0U7LZoqPvWbyM,2026-07-06,"https://i.kfs.io/album/global/295247248,0v2/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,30,Te Olvido (La La),LaIUfY55zEPTijbjOd,USUG12606560,"benny blanco, Selena Gomez, Becky G",OqcyU732THuFo-YVZa,Te Olvido (La La),0tO5CNV8K_vh-M6A8J,2026-07-31,"https://i.kfs.io/album/global/296312640,0v2/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,31,Body On (Boys' Version),KmiCCaU4R1boN7kk3E,QZQAY2629079,dearALICE,CoDN7fu9dysV2fb6Ry,Body On (Boys' Version),5-ckFrR5FSVSBN8Bk3,2026-07-10,"https://i.kfs.io/album/global/295405082,0v1/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,32,over u (2023),WqG3YHo6TPWt7-PjmI,QMBZ92676692,Jeremy Zucker,WmhqS3UkUtj1LuBC58,archive_001,WqkEq_94G8C8kREid0,2026-07-23,"https://i.kfs.io/album/global/295570303,0v2/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,33,Work - from PAW Patrol: The Dino Movie,4rEsGQrgSSJLrgwRAD,USUG12607781,"Ava Max, PAW Patrol",Grpj7OZEMQFlOS4w2h,Work - from PAW Patrol: The Dino Movie,_Zavsiy1KVWPsWJYDo,2026-07-31,"https://i.kfs.io/album/global/296341138,0v2/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,34,honk!,DY9Yf0q7ri5YRe_ECO,QMBZ92671097,no na,WsDYCXTUu7eU0Vqbm7,honk!,KszwBcJOdkIB9IdZ8i,2026-07-31,"https://i.kfs.io/album/global/295377560,0v1/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,35,Been By Now,OrI7kUBVf78HX3qNZW,USUG12607376,Morgan Wallen,Cloq6xYxr1GFT5cFXY,Been By Now,5av_hw0IczZYRG9524,2026-07-24,"https://i.kfs.io/album/global/296280579,0v2/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,36,Crash Out,GrD_F-CCk9ZkwQQ_li,USAT22604242,Tinashe,D-aKyHbo3KbdhURf8b,Crash Out,CqdwKmEBmpvC_bjLEp,2026-07-16,"https://i.kfs.io/album/global/295698572,0v3/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,37,Romanticize,4neXxWg43TYuqdvtjM,QZNMT2636570,Tkay Maidza,Gpk3ixPEBUDsgRPb-g,Romanticize,-sSsyERVs6muutRg3D,2026-07-15,"https://i.kfs.io/album/global/294297529,0v1/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,38,Eternity,KrWLLYEH6Il0B1nWGT,QT6EV2620926,Drake Mccain,Ct6DRtOex-o4aJ5cc8,Eternity,4peuHRrs3PHEahnrVD,2026-07-31,"https://i.kfs.io/album/global/295664435,0v1/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,39,Camera,8rwMOgM059bDSsPNBV,USAT22603057,Charli xcx (酷娃恰莉),GnyAsURjnXAaS1LfTo,"Music, Fashion, Film",1Z1MmiwHk0A9u6v_LT,2026-07-24,"https://i.kfs.io/album/global/296208729,0v2/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,40,Fireflies,CkElxv6qnNz6_3zMYI,USA2P2646250,"Martin Garrix, U2",OmtPoLz93wEMBqHcuo,Fireflies,GpGMI63zWop207Pu8-,2026-07-24,"https://i.kfs.io/album/global/295668570,0v2/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,41,World Away,0rOybYOB97UdyrcQf2,QZJ842609768,"Gryffin, BUNT. & Inéz",0oE5DPBqAZvsPguDfX,World Away,1YEbAVD-V_hOBBtUlt,2026-07-24,"https://i.kfs.io/album/global/295741247,0v5/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,42,tip toe,OmYP9SL9TsIBfK36HD,HKI492617207,moon tang,TYWf4BJ5HjUVxBlXd4,tip toe,5aqk5C0IczZYQmJ4mS,2026-07-21,"https://i.kfs.io/album/global/295326742,0v2/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,43,AH HA,1YbkYR_D0OlxrmgUg4,USAT22605402,Cardi B,H_P0RAq305ZsZWx63y,AH HA,-oStuaxc2jy1xiYI0F,2026-07-31,"https://i.kfs.io/album/global/296637380,0v2/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,44,Never Been In Love,1aVopQlX0t4rzkZ3sg,USUG12604308,"Lauren Alaina, Kane Brown",8t68CNoHItW_j0ej2I,Never Been In Love,GpBGIF3zWop23d2BWU,2026-07-17,"https://i.kfs.io/album/global/295709510,0v2/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,45,Famous to You,4o19SP-KtWt5lGCklP,QMGVJ2600206,Max McNown,H-AiXK6EvbB0WlIGrc,Famous to You,-taCBu9jwV9UKwHvwl,2026-07-24,"https://i.kfs.io/album/global/294969978,0v2/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,46,Weekend,CkP_pu6qnNz68yw0R2,GBUM72604151,"MEDUZA, Khalid",9_K8LwfJGTMFKE_pYv,Weekend,8p8hXg88vmYiMpIU80,2026-07-17,"https://i.kfs.io/album/global/295709395,0v3/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,47,4 Seasons,5YuWpgg3hYuu33xJsA,GBUM72506776,Ellie Goulding (艾麗高登),LX67gcxRSEf7TuOAkM,4 Seasons,Op1rkMIQB1A8-IsoNE,2026-07-31,"https://i.kfs.io/album/global/296631728,0v2/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,48,Remedied,SqlfHs99V6Obz6M04Q,GBUM72602368,FLO,1YEavfJtwJe8G7Ru39,Remedied,PYYps1uGqns_SKeTfW,2026-07-24,"https://i.kfs.io/album/global/296006268,0v2/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,49,Memo,KrxXTKEH6Il0C1gp-2,USWB12602583,Dasha,TYUagHJZHjUVysucEU,Memo,Gmjc-JL0te5pB27MFs,2026-07-31,"https://i.kfs.io/album/global/295344407,0v2/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,50,i've missed you longer,WqVdwvo6TPWt4dc6x-,USQX92603879,Lexi Jayde,8qfmrljl89YamRrltG,i've missed you longer,SnU8CV--_eOqNBDWFY,2026-07-24,"https://i.kfs.io/album/global/296160579,0v3/fit/160x160.jpg"
2026-08-08,西洋新歌日榜,western,newrelease,51,From The Start,LZe8zWAcMFHah8bOhE,TWL252607506,派偉俊 (Patrick Brasca),8tdWqMpHItW_hZrG3I,BAD IDEA,LYrbXkmyCNxEvfWmsb,2026-07-31,"https://i.kfs.io/album/global/296500875,0v2/fit/160x160.jpg"
