captured_date,chart_name,genre,chart_type,rank,track_name,track_id,isrc,artist_name,artist_id,album_name,album_id,release_date,image_url
2026-08-22,西洋單曲日榜,western,single,1,Less than a Lover,GsIAexEUZ-QUYf1Wxx,USQX92604129,JENNIE,OrdH1K6WblPkZLIMSR,Less than a Lover,8qs2kKrFOgKcvQ63t7,2026-07-24,"https://i.kfs.io/album/global/296314901,0v3/fit/160x160.jpg"
2026-08-22,西洋單曲日榜,western,single,2,APT.,Gn-uxRzGJNIVLFDmPF,USAT22409172,ROSÉ & Bruno Mars ROSÉ & Bruno Mars,OmayglyN3wEMAJgGQs,APT.,Om3qWDk4P4HnBERdOe,2024-10-18,"https://i.kfs.io/album/global/275491182,2v1/fit/160x160.jpg"
2026-08-22,西洋單曲日榜,western,single,3,Animal,_ZNEKbiVncpGOatS6E,USUM72602757,KATSEYE,CtEdLXOux-o4Z2Q8sB,Animal,-ltA1JYWp_79zb0Q47,2026-07-27,"https://i.kfs.io/album/global/296009041,0v2/fit/160x160.jpg"
2026-08-22,西洋單曲日榜,western,single,4,petal,GlgVIbGpylVNE-YAz8,USUM72601822,Ariana Grande,Cptd-wtnOiWI7Ptkos,petal,Gsw-m5_jG1L3FUr1kp,2026-07-31,"https://i.kfs.io/album/global/296668023,0v2/fit/160x160.jpg"
2026-08-22,西洋單曲日榜,western,single,5,Dai Dai,OsmOGC908UtsynpeaM,USQX92602558,"Shakira, Burna Boy",5YZOenNRDF8ko2Tq8a,Dai Dai,DXG3Q0IPYpMkhXdoq2,2026-05-14,"https://i.kfs.io/album/global/293684498,0v15/fit/160x160.jpg"
2026-08-22,西洋單曲日榜,western,single,6,Zoo,WsNYGRs2ZsiE_0gLmU,USWD12538420,"Disney, Shakira, Michael Giacchino",WnXAB75STvH994k8S8,Zootopia 2 (動物方城市2電影原聲帶) - Original Motion Picture Soundtrack,OtI_OCcREqbM95mPjM,2025-11-21,"https://i.kfs.io/album/global/286646702,0v1/fit/160x160.jpg"
2026-08-22,西洋單曲日榜,western,single,7,ChecK,OpjsqAagzUmSYAwIaq,KRMIM2640634,孝琳 (Hyolyn),4oAKaKodDH7zBa9mPw,OriginaLyn,4rR7-QnAFoOyZrwQSV,2026-07-22,"https://i.kfs.io/album/tw/295878755,0v1/fit/160x160.jpg"
2026-08-22,西洋單曲日榜,western,single,8,SWIM,HZ5thAdSEYKflhLn90,USA2P2600449,BTS防彈少年團,PaE4NNTCBoelD0bYjc,ARIRANG,8ryOwwU7LZoqP67a7g,2026-03-20,"https://i.kfs.io/album/global/291366347,0v2/fit/160x160.jpg"
2026-08-22,西洋單曲日榜,western,single,9,Beauty And A Beat - Album Version,L__rU7mZ_NyBofLPrG,USUM71205367,Justin Bieber (小賈斯汀),1Z1xBFRLSG0cBqgcv_,Believe,OlatXMxJCCud9wAPj1,2012-01-01,"https://i.kfs.io/album/global/392277,1v1/fit/160x160.jpg"
2026-08-22,西洋單曲日榜,western,single,10,GG EZ (Speed Up),L-0GPHvRXlYLtCr3M2,QT66Q2613443,M.Sasuke,SnZAPgYAol-ZOnn570,Game Mode (Speed Up),D-BiTMtNdbwdPS7K6h,2026-06-13,"https://i.kfs.io/album/global/294657444,0v1/fit/160x160.jpg"
2026-08-22,西洋單曲日榜,western,single,11,Take Me Back,Omn6BVL9TsIBfsH-00,SEBGA2600867,"Kygo, Max McNown",5YymfRNRDF8koc4-wj,Take Me Back,-rA5TbfJ1XBjLQiuLS,2026-07-10,"https://i.kfs.io/album/global/295338509,0v3/fit/160x160.jpg"
2026-08-22,西洋單曲日榜,western,single,12,like JENNIE,PYoHHe6CNHxJuAgX4k,USQX92500261,JENNIE,OrdH1K6WblPkZLIMSR,Ruby,4sKUY4oyxHs9DsNcO1,2025-03-07,"https://i.kfs.io/album/global/279094116,3v2/fit/160x160.jpg"
2026-08-22,西洋單曲日榜,western,single,13,STAY,9a-GKKZN1jmuKSwdsz,USSM12103949,"The Kid LAROI, Justin Bieber",StkwWp8BxUXeR-xGFa,STAY,Klow-z55BqJm_I-KcH,2021-07-09,"https://i.kfs.io/album/global/126432819,2v1/fit/160x160.jpg"
2026-08-22,西洋單曲日榜,western,single,14,I'd Be Lyin',9XLBjs1y3wYrCrzQWC,QT6EB2663773,Kelly Clarkson (凱莉克萊森),KkMh1MlinYMj9a2oUf,I'd Be Lyin',CndPhmVF4d6Z3d5SXh,2026-07-17,"https://i.kfs.io/album/global/295219413,0v1/fit/160x160.jpg"
2026-08-22,西洋單曲日榜,western,single,15,kiss me,HZ1r9hciEYKfnYU6gi,USUM72601820,Ariana Grande,Cptd-wtnOiWI7Ptkos,petal,Gsw-m5_jG1L3FUr1kp,2026-07-31,"https://i.kfs.io/album/global/296668023,0v2/fit/160x160.jpg"
2026-08-22,西洋單曲日榜,western,single,16,hate that i made you love me,8ooO1k4wlULSCcoGGO,USUM72601821,Ariana Grande,Cptd-wtnOiWI7Ptkos,hate that i made you love me,Km_2mG96mUrTnMih9S,2026-05-29,"https://i.kfs.io/album/global/294239307,0v2/fit/160x160.jpg"
2026-08-22,西洋單曲日榜,western,single,17,Good Reason,CtE5gdPFUSEGap8mVt,USUG12603698,Gracie Abrams,HXy8wLKf8cmeHb4DVy,Daughter from Hell,GrrzN40JSVBLaAVnmO,2026-07-17,"https://i.kfs.io/album/global/296001572,0v2/fit/160x160.jpg"
